Fecha,sst_nino12_proxy
2017-05-17,24.94806
2017-05-18,24.760406
2017-05-19,24.55008
2017-05-20,24.230072
2017-05-21,23.90158
2017-05-22,23.756744
2017-05-23,23.595306
2017-05-24,23.372406
2017-05-25,23.244843
2017-05-26,23.150604
2017-05-27,23.075836
2017-05-28,23.034058
2017-05-29,22.97403
2017-05-30,22.967834
2017-05-31,23.037048
2017-06-01,23.054626
2017-06-02,23.129517
2017-06-03,23.234833
2017-06-04,23.209686
2017-06-05,23.253906
2017-06-06,23.253815
2017-06-07,23.185028
2017-06-08,23.085754
2017-06-09,23.011047
2017-06-10,22.91806
2017-06-11,22.761139
2017-06-12,22.61435
2017-06-13,22.700592
2017-06-14,22.936707
2017-06-15,23.115509
2017-06-16,23.152313
2017-06-17,23.262268
2017-06-18,23.651672
2017-06-19,23.585785
2017-06-20,23.52707
2017-06-21,23.471954
2017-06-22,23.603516
2017-06-23,23.522308
2017-06-24,23.564056
2017-06-25,23.528381
2017-06-26,23.46875
2017-06-27,23.499908
2017-06-28,23.251434
2017-06-29,22.956024
2017-06-30,22.749603
2017-07-01,22.47168
2017-07-02,22.356476
2017-07-03,22.141815
2017-07-04,21.818787
2017-07-05,21.702728
2017-07-06,21.740479
2017-07-07,21.817657
2017-07-08,21.843414
2017-07-09,21.956512
2017-07-10,21.994385
2017-07-11,22.138245
2017-07-12,22.333557
2017-07-13,22.361053
2017-07-14,22.25476
2017-07-15,22.088104
2017-07-16,22.04715
2017-07-17,21.987122
2017-07-18,21.93637
2017-07-19,21.845306
2017-07-20,21.718506
2017-07-21,21.546417
2017-07-22,21.442108
2017-07-23,21.466888
2017-07-24,21.498322
2017-07-25,21.477203
2017-07-26,21.399567
2017-07-27,21.355042
2017-07-28,21.397064
2017-07-29,21.442535
2017-07-30,21.450958
2017-07-31,21.637482
2017-08-01,21.723297
2017-08-02,21.735138
2017-08-03,21.69809
2017-08-04,21.578217
2017-08-05,21.463715
2017-08-06,21.253479
2017-08-07,21.035889
2017-08-08,20.633575
2017-08-09,20.566376
2017-08-10,20.393738
2017-08-11,20.28888
2017-08-12,20.289795
2017-08-13,20.284576
2017-08-14,20.325745
2017-08-15,20.223053
2017-08-16,20.098846
2017-08-17,20.157867
2017-08-18,20.339783
2017-08-19,20.474915
2017-08-20,20.473755
2017-08-21,20.63147
2017-08-22,20.813324
2017-08-23,20.843048
2017-08-24,20.851654
2017-08-25,21.043152
2017-08-26,21.11966
2017-08-27,20.996857
2017-08-28,20.875214
2017-08-29,20.799408
2017-08-30,20.718323
2017-08-31,20.594147
2017-09-01,20.68576
2017-09-02,20.735443
2017-09-03,20.838623
2017-09-04,20.962738
2017-09-05,20.983276
2017-09-06,20.948395
2017-09-07,20.967896
2017-09-08,21.106903
2017-09-09,21.159973
2017-09-10,20.977325
2017-09-11,20.781311
2017-09-12,20.67987
2017-09-13,20.49936
2017-09-14,20.37027
2017-09-15,20.344482
2017-09-16,20.329926
2017-09-17,20.53833
2017-09-18,20.731476
2017-09-19,20.93515
2017-09-20,21.041046
2017-09-21,21.051422
2017-09-22,20.885864
2017-09-23,20.785645
2017-09-24,20.74179
2017-09-25,20.621735
2017-09-26,20.420166
2017-09-27,20.390442
2017-09-28,20.624908
2017-09-29,20.86325
2017-09-30,21.086426
2017-10-01,21.135834
2017-10-02,21.210846
2017-10-03,21.224396
2017-10-04,21.050385
2017-10-05,20.946747
2017-10-06,20.956604
2017-10-07,20.764435
2017-10-08,20.563446
2017-10-09,20.521759
2017-10-10,20.439636
2017-10-11,20.509857
2017-10-12,20.59198
2017-10-13,20.66922
2017-10-14,20.595459
2017-10-15,20.37201
2017-10-16,20.08554
2017-10-17,19.94638
2017-10-18,20.009949
2017-10-19,20.209412
2017-10-20,20.222748
2017-10-21,20.389221
2017-10-22,20.63443
2017-10-23,20.92749
2017-10-24,21.093262
2017-10-25,21.180298
2017-10-26,21.398834
2017-10-27,21.462708
2017-10-28,21.594269
2017-10-29,21.760254
2017-10-30,21.773987
2017-10-31,21.780518
2017-11-01,21.7482
2017-11-02,21.78366
2017-11-03,21.757538
2017-11-04,21.482727
2017-11-05,21.425293
2017-11-06,21.332916
2017-11-07,21.092743
2017-11-08,21.121338
2017-11-09,21.005096
2017-11-10,20.869324
2017-11-11,20.916748
2017-11-12,21.020477
2017-11-13,21.142609
2017-11-14,21.21817
2017-11-15,21.324677
2017-11-16,21.396423
2017-11-17,21.568909
2017-11-18,21.670502
2017-11-19,21.69925
2017-11-20,21.619965
2017-11-21,21.59845
2017-11-22,21.559967
2017-11-23,21.40982
2017-11-24,21.291626
2017-11-25,21.132324
2017-11-26,21.021545
2017-11-27,21.12149
2017-11-28,21.226227
2017-11-29,21.276215
2017-11-30,21.269928
2017-12-01,21.313873
2017-12-02,21.45633
2017-12-03,21.501831
2017-12-04,21.550201
2017-12-05,21.555756
2017-12-06,21.48642
2017-12-07,21.387238
2017-12-08,21.240265
2017-12-09,21.262909
2017-12-10,21.324585
2017-12-11,21.38382
2017-12-12,21.466766
2017-12-13,21.801636
2017-12-14,22.085815
2017-12-15,22.259003
2017-12-16,22.32904
2017-12-17,22.37381
2017-12-18,22.395538
2017-12-19,22.44342
2017-12-20,22.450775
2017-12-21,22.270416
2017-12-22,21.944855
2017-12-23,21.936157
2017-12-24,22.000275
2017-12-25,22.143036
2017-12-26,22.233582
2017-12-27,22.335785
2017-12-28,22.442566
2017-12-29,22.502808
2017-12-30,22.687012
2017-12-31,22.700226
2018-01-01,22.6922
2018-01-02,22.712128
2018-01-03,22.50705
2018-01-04,22.738739
2018-01-05,22.729004
2018-01-06,22.65915
2018-01-07,22.551788
2018-01-08,22.47174
2018-01-09,22.431274
2018-01-10,22.373901
2018-01-11,22.34024
2018-01-12,22.576202
2018-01-13,22.741547
2018-01-14,22.936066
2018-01-15,23.222229
2018-01-16,23.452698
2018-01-17,23.593262
2018-01-18,23.812683
2018-01-19,23.973297
2018-01-20,23.98288
2018-01-21,24.051208
2018-01-22,24.000275
2018-01-23,23.86148
2018-01-24,23.909882
2018-01-25,23.974945
2018-01-26,24.120575
2018-01-27,24.16626
2018-01-28,24.216766
2018-01-29,24.197113
2018-01-30,24.192902
2018-01-31,24.253662
2018-02-01,24.340668
2018-02-02,24.356995
2018-02-03,24.444427
2018-02-04,24.690186
2018-02-05,24.87204
2018-02-06,25.014679
2018-02-07,25.218231
2018-02-08,25.378418
2018-02-09,25.574036
2018-02-10,25.715302
2018-02-11,25.870697
2018-02-12,25.799286
2018-02-13,25.845184
2018-02-14,25.647064
2018-02-15,25.97528
2018-02-16,26.003021
2018-02-17,25.858734
2018-02-18,26.203186
2018-02-19,26.147919
2018-02-20,26.2641
2018-02-21,26.326935
2018-02-22,26.4628
2018-02-23,26.687836
2018-02-24,26.741882
2018-02-25,26.890472
2018-02-26,26.839508
2018-02-27,26.790771
2018-02-28,26.761353
2018-03-01,26.655975
2018-03-02,26.475891
2018-03-03,26.195282
2018-03-04,25.907349
2018-03-05,25.817108
2018-03-06,25.786224
2018-03-07,25.661163
2018-03-08,25.644379
2018-03-09,25.509125
2018-03-10,25.225311
2018-03-11,24.770508
2018-03-12,24.559235
2018-03-13,24.426544
2018-03-14,24.37149
2018-03-15,24.311188
2018-03-16,24.339996
